Mã,Tên,Cấp,Mã TP,Tỉnh / Thành Phố
4,Phường Ba Đình,Phường,1,Thành phố Hà Nội
8,Phường Ngọc Hà,Phường,1,Thành phố Hà Nội
25,Phường Giảng Võ,Phường,1,Thành phố Hà Nội
70,Phường Hoàn Kiếm,Phường,1,Thành phố Hà Nội
82,Phường Cửa Nam,Phường,1,Thành phố Hà Nội
91,Phường Phú Thượng,Phường,1,Thành phố Hà Nội
97,Phường Hồng Hà,Phường,1,Thành phố Hà Nội
103,Phường Tây Hồ,Phường,1,Thành phố Hà Nội
118,Phường Bồ Đề,Phường,1,Thành phố Hà Nội
127,Phường Việt Hưng,Phường,1,Thành phố Hà Nội
136,Phường Phúc Lợi,Phường,1,Thành phố Hà Nội
145,Phường Long Biên,Phường,1,Thành phố Hà Nội
160,Phường Nghĩa Đô,Phường,1,Thành phố Hà Nội
166,Phường Cầu Giấy,Phường,1,Thành phố Hà Nội
175,Phường Yên Hòa,Phường,1,Thành phố Hà Nội
190,Phường Ô Chợ Dừa,Phường,1,Thành phố Hà Nội
199,Phường Láng,Phường,1,Thành phố Hà Nội
226,Phường Văn Miếu - Quốc Tử Giám,Phường,1,Thành phố Hà Nội
229,Phường Kim Liên,Phường,1,Thành phố Hà Nội
235,Phường Đống Đa,Phường,1,Thành phố Hà Nội
256,Phường Hai Bà Trưng,Phường,1,Thành phố Hà Nội
283,Phường Vĩnh Tuy,Phường,1,Thành phố Hà Nội
292,Phường Bạch Mai,Phường,1,Thành phố Hà Nội
301,Phường Vĩnh Hưng,Phường,1,Thành phố Hà Nội
316,Phường Định Công,Phường,1,Thành phố Hà Nội
322,Phường Tương Mai,Phường,1,Thành phố Hà Nội
328,Phường Lĩnh Nam,Phường,1,Thành phố Hà Nội
331,Phường Hoàng Mai,Phường,1,Thành phố Hà Nội
337,Phường Hoàng Liệt,Phường,1,Thành phố Hà Nội
340,Phường Yên Sở,Phường,1,Thành phố Hà Nội
352,Phường Phương Liệt,Phường,1,Thành phố Hà Nội
364,Phường Khương Đình,Phường,1,Thành phố Hà Nội
367,Phường Thanh Xuân,Phường,1,Thành phố Hà Nội
376,Xã Sóc Sơn,Xã,1,Thành phố Hà Nội
382,Xã Kim Anh,Xã,1,Thành phố Hà Nội
385,Xã Trung Giã ,Xã,1,Thành phố Hà Nội
430,Xã Đa Phúc,Xã,1,Thành phố Hà Nội
433,Xã Nội Bài,Xã,1,Thành phố Hà Nội
454,Xã Đông Anh,Xã,1,Thành phố Hà Nội
466,Xã Phúc Thịnh,Xã,1,Thành phố Hà Nội
475,Xã Thư Lâm,Xã,1,Thành phố Hà Nội
493,Xã Thiên Lộc,Xã,1,Thành phố Hà Nội
508,Xã Vĩnh Thanh,Xã,1,Thành phố Hà Nội
541,Xã Phù Đổng,Xã,1,Thành phố Hà Nội
562,Xã Thuận An,Xã,1,Thành phố Hà Nội
565,Xã Gia Lâm,Xã,1,Thành phố Hà Nội
577,Xã Bát Tràng,Xã,1,Thành phố Hà Nội
592,Phường Từ Liêm,Phường,1,Thành phố Hà Nội
